"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Spirigerellina","Spirigerellina","Brachiopoda","Rhynchonellata","Athyridida","Diplospirellidae",228,251.3,29,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,2,2,1
"Stolzenburgiella","Stolzenburgiella","Brachiopoda","Rhynchonellata","Athyridida","Diplospirellidae",201.3,247.2,5,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,1,1,1
"Tetractinella","Tetractinella","Brachiopoda","Rhynchonellata","Athyridida","Diplospirellidae",228,247.2,93,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,16,5,4
"Amphiclina","Amphiclina","Brachiopoda","Rhynchonellata","Athyridida","Koninckinidae",201.3,242,51,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Amphiclinodonta","Amphiclinodonta","Brachiopoda","Rhynchonellata","Athyridida","Koninckinidae",182.7,242,6,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Carinokoninckina","Carinokoninckina","Brachiopoda","Rhynchonellata","Athyridida","Koninckinidae",201.3,247.2,20,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Koninckella","Koninckella","Brachiopoda","Rhynchonellata","Athyridida","Koninckinidae",180,247.2,36,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,1,1,1
"Cassianospira","Cassianospira","Brachiopoda","Rhynchonellata","Athyridida","Neoretziidae",221.5,247.2,15,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Schwagerispira","Schwagerispira","Brachiopoda","Rhynchonellata","Athyridida","Neoretziidae",208.5,247.2,77,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,4,2,2
"Pseudokoninckina","Pseudokoninckina","Brachiopoda","Rhynchonellata","Athyridida","NO_FAMILY_SPECIFIED",228,242,2,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,1,1,1
"Spirigera","Spirigera","Brachiopoda","Rhynchonellata","Athyridida","NO_FAMILY_SPECIFIED",201.3,247.2,30,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,9,5,1
"Retzia","Retzia","Brachiopoda","Rhynchonellata","Athyridida","Retziidae",228,247.2,11,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,5,2,1
"Caucasorhynchia","Caucasorhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Allorhynchidae",201.3,247.2,32,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Maorirhynchia","Maorirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Allorhynchidae",212,247.2,113,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,63,1,2
"Septaliphorioidea","Septaliphorioidea","Brachiopoda","Rhynchonellata","Rhynchonellida","Allorhynchidae",228,247.2,30,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Decurtella","Decurtella","Brachiopoda","Rhynchonellata","Rhynchonellida","Austrirhynchidae",208.5,247.2,64,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,6,2,2
"Trigonirhynchella","Trigonirhynchella","Brachiopoda","Rhynchonellata","Rhynchonellida","Austrirhynchidae",201.3,247.2,8,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,1,1,1
"Veghirhynchia","Veghirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Basiliolidae",201.3,242,17,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Costirhynchopsis","Costirhynchopsis","Brachiopoda","Rhynchonellata","Rhynchonellida","Cyclothyrididae",201.3,247.2,89,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,6,1,1
"Aparimarhynchia","Aparimarhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",237,247.2,19,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,3,1,1
"Austriella","Austriella","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",228,242,1,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Austriellula","Austriellula","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",174.1,251.3,46,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Diholkorhynchia","Diholkorhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",237,247.2,43,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,4,2,2
"Holcorhynchella","Holcorhynchella","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",221.5,247.2,45,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,12,9,1
"Norella","Norella","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",201.3,251.3,39,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,4,4,2
"Nudirostralina","Nudirostralina","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",221.5,251.3,84,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,6,2,3
"Planirhynchia","Planirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Rhynchonellidae",182.7,242,21,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,1,1,1
"Rhynchonella","Rhynchonella","Brachiopoda","Rhynchonellata","Rhynchonellida","Rhynchonellidae",182.7,247.2,62,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,18,12,2
"Sakawairhynchia","Sakawairhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Rhynchonellidae",174.1,242,613,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,250,2,2
"Sinuplicorhynchia","Sinuplicorhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Rhynchonellidae",208.5,242,19,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,1,1,1
"Sulcorhynchia","Sulcorhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Rhynchonellidae",201.3,247.2,8,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Uniplicatorhynchia","Uniplicatorhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Rhynchonellidae",228,247.2,2,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
