"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Aulacopodia","Aulacopodia","Arthropoda","Malacostraca","Decapoda","NO_FAMILY_SPECIFIED",66,70.6,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Cretasergestes","Cretasergestes","Arthropoda","Malacostraca","Decapoda","NO_FAMILY_SPECIFIED",66,100.5,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Eurycarpus","Eurycarpus","Arthropoda","Malacostraca","Decapoda","NO_FAMILY_SPECIFIED",70.6,83.5,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Prehepatus","Prehepatus","Arthropoda","Malacostraca","Decapoda","NO_FAMILY_SPECIFIED",37.2,70.6,5,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,2,2,2
"Woodbinax","Woodbinax","Arthropoda","Malacostraca","Decapoda","NO_FAMILY_SPECIFIED",66,100.5,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Orithopsis","Orithopsis","Echinodermata","Echinoidea","NO_ORDER_SPECIFIED","Orthopsidae",66,105.3,3,"epifaunal","slow, motile","grazer","other","intermediate","high Mg calcite","moderate carbonate load",1,1,1,1
"Menippe","Menippe","Arthropoda","Malacostraca","Decapoda","Oziidae",66,100.5,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,2,1,1
"Pagurus","Pagurus","Arthropoda","Malacostraca","Decapoda","Paguridae",23.03,125,11,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Palaemon","Palaemon","Arthropoda","Malacostraca","Decapoda","Palaemonidae",66,83.6,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Cretacoranina","Cretacoranina","Arthropoda","Malacostraca","Decapoda","Palaeocorystidae",66,100.5,4,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Cristafrons","Cristafrons","Arthropoda","Malacostraca","Decapoda","Palaeocorystidae",66,83.6,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Joeranina","Joeranina","Arthropoda","Malacostraca","Decapoda","Palaeocorystidae",70.6,113,13,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,2,1,1
"Notopocorystes","Notopocorystes","Arthropoda","Malacostraca","Decapoda","Palaeocorystidae",66,113,13,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,3,2,1
"Palaeocorystes","Palaeocorystes","Arthropoda","Malacostraca","Decapoda","Palaeocorystidae",66,86.3,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,2,1,1
"Raninoides","Raninoides","Arthropoda","Malacostraca","Decapoda","Palaeocorystidae",23.03,100.5,31,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,2,2,2
"Palaeoxantho","Palaeoxantho","Arthropoda","Malacostraca","Decapoda","Palaeoxanthopsidae",66,70.6,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,2,1,1
"Palaeoxanthopsis","Palaeoxanthopsis","Arthropoda","Malacostraca","Decapoda","Palaeoxanthopsidae",66,100.5,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,2,2,2
"Archaeocarabus","Archaeocarabus","Arthropoda","Malacostraca","Decapoda","Palinuridae",66,100.5,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Astacodes","Astacodes","Arthropoda","Malacostraca","Decapoda","Palinuridae",70.6,93.5,4,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,2,1,1
"Linuparus","Linuparus","Arthropoda","Malacostraca","Decapoda","Palinuridae",23.03,113,43,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,8,4,3
"Parthenope","Parthenope","Arthropoda","Malacostraca","Decapoda","Parthenopidae",33.9,100.5,5,"epifaunal","fast, motile","symbionts","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Penaeus","Penaeus","Arthropoda","Malacostraca","Decapoda","Penaeidae",56,72.1,3,"pelagic","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Cretacolana","Cretacolana","Arthropoda","Malacostraca","Decapoda","Porcellanidae",66,99.6,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Carinatus","Carinatus","Arthropoda","Malacostraca","Decapoda","Raninidae",66,70.6,4,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,4,1,1
"Eumorphocorystes","Eumorphocorystes","Arthropoda","Malacostraca","Decapoda","Raninidae",66,72.1,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,2,2,1
