"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Discina","Discina","Brachiopoda","Lingulata","Lingulida","Disciniidae",170.3,259.9,12,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","phosphatic","little or no carbonate load",0,0,0,0
"Discinisca","Discinisca","Brachiopoda","Lingulata","Lingulida","Disciniidae",174.1,228,16,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","phosphatic","little or no carbonate load",0,1,1,1
"Lingularia","Lingularia","Brachiopoda","Lingulata","Lingulida","Lingulidae",174.1,259.9,293,"shallow infaunal","facultative, unattached","suspension","hemerythrin","broadcaster","phosphatic","little or no carbonate load",0,4,3,3
"Dioristella","Dioristella","Brachiopoda","Rhynchonellata","Athyridida","Diplospirellidae",208.5,242,26,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,8,3,3
"Anisactinella","Anisactinella","Brachiopoda","Rhynchonellata","Athyridida","Diplospirellidae",221.5,247.2,28,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,1,1,1
"Clavigera","Clavigera","Brachiopoda","Rhynchonellata","Athyridida","Diplospirellidae",201.6,212,11,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Diplospirella","Diplospirella","Brachiopoda","Rhynchonellata","Athyridida","Diplospirellidae",208.5,247.2,61,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,4,2,2
"Euractinella","Euractinella","Brachiopoda","Rhynchonellata","Athyridida","Diplospirellidae",221.5,237,5,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,1,1,1
"Majkopella","Majkopella","Brachiopoda","Rhynchonellata","Athyridida","Diplospirellidae",201.3,228,10,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Misolia","Misolia","Brachiopoda","Rhynchonellata","Athyridida","Diplospirellidae",201.3,237,14,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,10,5,4
"Ochotathyris","Ochotathyris","Brachiopoda","Rhynchonellata","Athyridida","Diplospirellidae",205.6,228,9,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,7,1,3
"Oxycolpella","Oxycolpella","Brachiopoda","Rhynchonellata","Athyridida","Diplospirellidae",201.3,247.2,79,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,16,9,6
"Pexidella","Pexidella","Brachiopoda","Rhynchonellata","Athyridida","Diplospirellidae",221.5,247.2,23,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,1,1,1
"Stolzenburgiella","Stolzenburgiella","Brachiopoda","Rhynchonellata","Athyridida","Diplospirellidae",201.3,247.2,5,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Amphiclina","Amphiclina","Brachiopoda","Rhynchonellata","Athyridida","Koninckinidae",201.3,242,51,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,18,8,5
"Amphiclinodonta","Amphiclinodonta","Brachiopoda","Rhynchonellata","Athyridida","Koninckinidae",182.7,242,6,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,2,1,1
"Carinokoninckina","Carinokoninckina","Brachiopoda","Rhynchonellata","Athyridida","Koninckinidae",201.3,247.2,20,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,14,4,4
"Ctenokoninckina","Ctenokoninckina","Brachiopoda","Rhynchonellata","Athyridida","Koninckinidae",215.56,237,2,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,1,1,1
"Koninckella","Koninckella","Brachiopoda","Rhynchonellata","Athyridida","Koninckinidae",180,247.2,36,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,2,2,1
"Koninckina","Koninckina","Brachiopoda","Rhynchonellata","Athyridida","Koninckinidae",201.3,237,32,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,15,8,7
"Lamellokoninckina","Lamellokoninckina","Brachiopoda","Rhynchonellata","Athyridida","Koninckinidae",201.3,237,7,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,5,3,2
"Septamphiclina","Septamphiclina","Brachiopoda","Rhynchonellata","Athyridida","Koninckinidae",201.3,237,3,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,2,1,1
"Cassianospira","Cassianospira","Brachiopoda","Rhynchonellata","Athyridida","Neoretziidae",221.5,247.2,15,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,4,4,1
"Hungarispira","Hungarispira","Brachiopoda","Rhynchonellata","Athyridida","Neoretziidae",215.56,237,6,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,2,2,2
"Neoretzia","Neoretzia","Brachiopoda","Rhynchonellata","Athyridida","Neoretziidae",201.3,237,25,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,5,3,4
"Schwagerispira","Schwagerispira","Brachiopoda","Rhynchonellata","Athyridida","Neoretziidae",208.5,247.2,77,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,9,4,5
"Spirigera","Spirigera","Brachiopoda","Rhynchonellata","Athyridida","NO_FAMILY_SPECIFIED",201.3,247.2,30,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,1,1,1
"Hectoria","Hectoria","Brachiopoda","Rhynchonellata","Atrypida","Atrypinidae",189.6,212,6,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Caucasorhynchia","Caucasorhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Allorhynchidae",201.3,247.2,32,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,12,5,3
"Hagabirhynchia","Hagabirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Allorhynchidae",201.3,228,4,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,3,2,2
"Maorirhynchia","Maorirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Allorhynchidae",212,247.2,113,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,39,3,3
"Neofascicosta","Neofascicosta","Brachiopoda","Rhynchonellata","Rhynchonellida","Allorhynchidae",215.56,237,3,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,2,2,1
"Decurtella","Decurtella","Brachiopoda","Rhynchonellata","Rhynchonellida","Austrirhynchidae",208.5,247.2,64,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,2,2,2
"Excavatorhynchia","Excavatorhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Austrirhynchidae",208.5,237,3,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,2,1,2
"Trigonirhynchella","Trigonirhynchella","Brachiopoda","Rhynchonellata","Rhynchonellida","Austrirhynchidae",201.3,247.2,8,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Veghirhynchia","Veghirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Basiliolidae",201.3,242,17,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,5,2,2
"Costirhynchopsis","Costirhynchopsis","Brachiopoda","Rhynchonellata","Rhynchonellida","Cyclothyrididae",201.3,247.2,89,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,8,1,1
"Fissirhynchia","Fissirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Cyclothyrididae",201.3,232,106,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,23,3,9
"Halorellina","Halorellina","Brachiopoda","Rhynchonellata","Rhynchonellida","Cyclothyrididae",215.56,221.5,1,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,1,1,1
"Septocyclothyris","Septocyclothyris","Brachiopoda","Rhynchonellata","Rhynchonellida","Cyclothyrididae",212,215.56,1,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,1,1,1
"Timorhynchia","Timorhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Cyclothyrididae",201.3,237,17,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,16,5,6
"Yidunella","Yidunella","Brachiopoda","Rhynchonellata","Rhynchonellida","Cyclothyrididae",201.3,237,10,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,7,3,3
"Yulongella","Yulongella","Brachiopoda","Rhynchonellata","Rhynchonellida","Cyclothyrididae",212,215.56,1,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,1,1,1
"Crurirhynchia","Crurirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Erymnariidae",201.3,237,7,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,4,3,3
"Dierisma","Dierisma","Brachiopoda","Rhynchonellata","Rhynchonellida","Erymnariidae",208.5,228,2,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,2,2,1
"Halorella","Halorella","Brachiopoda","Rhynchonellata","Rhynchonellida","Halorellidae",201.3,237,19,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,14,2,7
"Halorelloidea","Halorelloidea","Brachiopoda","Rhynchonellata","Rhynchonellida","Halorellidae",205.6,237,10,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,6,2,4
"Austriellula","Austriellula","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",174.1,251.3,46,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,9,5,5
"Holcorhynchella","Holcorhynchella","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",221.5,247.2,45,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,2,1,1
"Holcorhynchia","Holcorhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",180,237,7,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,3,2,2
"Laevirhynchia","Laevirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",221.5,237,3,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,1,1,1
"Maxillirhynchia","Maxillirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",175.6,228,5,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,2,2,2
"Norella","Norella","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",201.3,251.3,39,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,6,5,4
