"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Pleurifera","Pleurifera","Arthropoda","Ostracoda","Podocopida","NO_FAMILY_SPECIFIED",181,189.6,6,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,6,1,1
"Praeschuleridea","Praeschuleridea","Arthropoda","Ostracoda","Podocopida","NO_FAMILY_SPECIFIED",174.1,182.7,45,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Trachycythere","Trachycythere","Arthropoda","Ostracoda","Podocopida","NO_FAMILY_SPECIFIED",174.1,189.6,10,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,6,1,3
"Liasina","Liasina","Arthropoda","Ostracoda","Podocopida","Pontocyprididae",174.1,196.5,79,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,71,2,3
"Pontocyprella","Pontocyprella","Arthropoda","Ostracoda","Podocopida","Pontocyprididae",182.7,235,25,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,21,3,2
"Gramannicythere","Gramannicythere","Arthropoda","Ostracoda","Podocopida","Protocytheridae",182.7,190.8,8,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,8,2,2
"Klinglerella","Klinglerella","Arthropoda","Ostracoda","Podocopida","Protocytheridae",189.6,201.3,8,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,2,2,1
"Cardobairdia","Cardobairdia","Arthropoda","Ostracoda","Podocopida","Saipanettidae",174.1,196.5,30,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,21,3,4
"Ostenocaris","Ostenocaris","Arthropoda","Thylacocephala","Conchyliocarida","Ostenocarididae",189.6,196.5,1,"epifaunal","slow, motile","predator","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Discina","Discina","Brachiopoda","Lingulata","Lingulida","Disciniidae",170.3,259.9,12,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","phosphatic","little or no carbonate load",0,0,0,0
"Discinisca","Discinisca","Brachiopoda","Lingulata","Lingulida","Disciniidae",174.1,228,16,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","phosphatic","little or no carbonate load",0,5,1,2
"Lingularia","Lingularia","Brachiopoda","Lingulata","Lingulida","Lingulidae",174.1,259.9,293,"shallow infaunal","facultative, unattached","suspension","hemerythrin","broadcaster","phosphatic","little or no carbonate load",0,14,4,4
"Amphiclinodonta","Amphiclinodonta","Brachiopoda","Rhynchonellata","Athyridida","Koninckinidae",182.7,242,6,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,1,1,1
"Koninckella","Koninckella","Brachiopoda","Rhynchonellata","Athyridida","Koninckinidae",180,247.2,36,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,5,3,3
"Koninckodonta","Koninckodonta","Brachiopoda","Rhynchonellata","Athyridida","Koninckinidae",180,199.3,24,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,19,5,3
"Hectoria","Hectoria","Brachiopoda","Rhynchonellata","Atrypida","Atrypinidae",189.6,212,6,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,1,1,1
"Cadomella","Cadomella","Brachiopoda","Rhynchonellata","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED",175.6,189.6,4,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,2,1,1
"Apringia","Apringia","Brachiopoda","Rhynchonellata","Rhynchonellida","Basiliolidae",175.6,201.3,102,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,95,6,2
"Jakubirhynchia","Jakubirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Basiliolidae",180,201.3,34,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,12,3,3
"Megapringia","Megapringia","Brachiopoda","Rhynchonellata","Rhynchonellida","Basiliolidae",182.7,189.6,24,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,24,2,1
"Pseudogibbirhynchia","Pseudogibbirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Basiliolidae",170.3,189.6,136,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,7,2,3
"Serratapringia","Serratapringia","Brachiopoda","Rhynchonellata","Rhynchonellida","Basiliolidae",182.7,189.6,5,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,5,1,1
"Soaresirhynchia","Soaresirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Basiliolidae",170.3,190.8,205,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,15,3,3
"Stolmorhynchia","Stolmorhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Basiliolidae",170.3,182.7,1,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Alebusirhynchia","Alebusirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Cyclothyrididae",182.7,196.5,3,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,3,2,1
"Aucklandirhynchia","Aucklandirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Cyclothyrididae",166.1,190.8,13,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,11,1,1
"Prionorhynchia","Prionorhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Prionorhynchiidae",174.1,201.3,146,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,76,12,7
"Rudirhynchia","Rudirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Cyclothyrididae",170.3,196.5,53,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,48,4,5
"Squamirhynchia","Squamirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Cyclothyrididae",182.7,196.5,10,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,10,1,5
"Rhynchonellina","Rhynchonellina","Brachiopoda","Rhynchonellata","Rhynchonellida","Dimerellidae",189.6,201.3,4,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,4,2,1
"Sulcirostra","Sulcirostra","Brachiopoda","Rhynchonellata","Rhynchonellida","Dimerellidae",189.6,201.3,4,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,1,1,1
"Septocrurella","Septocrurella","Brachiopoda","Rhynchonellata","Rhynchonellida","Erymnariidae",170.3,182.7,1,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Austriellula","Austriellula","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",174.1,251.3,46,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Fenyveskutella","Fenyveskutella","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",175.6,189.6,20,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,18,3,1
"Holcorhynchia","Holcorhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",180,237,7,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Kericserella","Kericserella","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",175.6,190.8,8,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,7,1,2
"Maxillirhynchia","Maxillirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",175.6,228,5,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Nannirhynchia","Nannirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",175.6,190.8,85,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,42,5,7
"Paronarhynchia","Paronarhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",182.7,189.6,14,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,14,2,1
"Pisirhynchia","Pisirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",175.6,201.3,42,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,34,3,3
"Scalpellirhynchia","Scalpellirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Norellidae",174.1,189.6,16,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,14,1,2
"Anarhynchia","Anarhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Peregrinellidae",182.7,190.8,1,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,1,1,1
"Peregrinelloidea","Peregrinelloidea","Brachiopoda","Rhynchonellata","Rhynchonellida","Peregrinellidae",182.7,189.6,3,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,3,2,2
"Nucleata","Nucleata","Brachiopoda","Rhynchonellata","Rhynchonellida","Pontisiidae",182.7,196.5,3,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,3,1,1
"Lokutella","Lokutella","Brachiopoda","Rhynchonellata","Rhynchonellida","Prionorhynchiidae",175.6,196.5,63,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,60,4,2
"Calcirhynchia","Calcirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Wellerellidae",182.7,208.5,94,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,53,6,6
"Choffatirhynchia","Choffatirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Rhynchonellidae",174.1,190.8,48,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,2,1,1
"Cuneirhynchia","Cuneirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Rhynchonellidae",174.1,201.3,96,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,72,10,9
"Furcirhynchia","Furcirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Rhynchonellidae",174.1,201.3,110,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,31,7,8
"Herangirhynchia","Herangirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Rhynchonellidae",174.1,205.6,151,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,18,2,3
"Homoeorhynchia","Homoeorhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Rhynchonellidae",171.6,201.3,298,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,58,5,7
"Piarorhynchia","Piarorhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Rhynchonellidae",174.1,237,88,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,41,7,6
"Planirhynchia","Planirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Rhynchonellidae",182.7,242,21,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,1,1,1
"Rhynchonella","Rhynchonella","Brachiopoda","Rhynchonellata","Rhynchonellida","Rhynchonellidae",182.7,247.2,62,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,3,2,2
"Rhynchonelloidea","Rhynchonelloidea","Brachiopoda","Rhynchonellata","Rhynchonellida","Rhynchonellidae",171.6,201.3,43,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,8,2,4
"Rimirhynchia","Rimirhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Rhynchonellidae",174.1,201.3,17,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,15,4,8
"Sakawairhynchia","Sakawairhynchia","Brachiopoda","Rhynchonellata","Rhynchonellida","Rhynchonellidae",174.1,242,613,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,12,2,2
