"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Amphiclina","Amphiclina","Brachiopoda","Rhynchonellata","Athyridida","Koninckinidae",201.3,242,51,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,20,6,2
"Amphiclinodonta","Amphiclinodonta","Brachiopoda","Rhynchonellata","Athyridida","Koninckinidae",182.7,242,6,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,2,2,2
"Carinokoninckina","Carinokoninckina","Brachiopoda","Rhynchonellata","Athyridida","Koninckinidae",201.3,247.2,20,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,4,3,3
"Ctenokoninckina","Ctenokoninckina","Brachiopoda","Rhynchonellata","Athyridida","Koninckinidae",215.56,237,2,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,1,1,1
"Koninckella","Koninckella","Brachiopoda","Rhynchonellata","Athyridida","Koninckinidae",180,247.2,36,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,4,2,1
"Koninckina","Koninckina","Brachiopoda","Rhynchonellata","Athyridida","Koninckinidae",201.3,237,32,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,13,2,4
"Lamellokoninckina","Lamellokoninckina","Brachiopoda","Rhynchonellata","Athyridida","Koninckinidae",201.3,237,7,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,1,1,1
"Septamphiclina","Septamphiclina","Brachiopoda","Rhynchonellata","Athyridida","Koninckinidae",201.3,237,3,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Cassianospira","Cassianospira","Brachiopoda","Rhynchonellata","Athyridida","Neoretziidae",221.5,247.2,15,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,10,5,2
"Hungarispira","Hungarispira","Brachiopoda","Rhynchonellata","Athyridida","Neoretziidae",215.56,237,6,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,4,1,1
"Neoretzia","Neoretzia","Brachiopoda","Rhynchonellata","Athyridida","Neoretziidae",201.3,237,25,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,3,3,2
