"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Pseudonecrocarcinus","Pseudonecrocarcinus","Arthropoda","Malacostraca","Decapoda","Necrocarcinidae",66,100.5,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Homarus","Homarus","Arthropoda","Malacostraca","Decapoda","Nephropidae",47.8,109,7,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Hoploparia","Hoploparia","Arthropoda","Malacostraca","Decapoda","Nephropidae",47.8,113,63,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Nephrops","Nephrops","Arthropoda","Malacostraca","Decapoda","Nephropidae",56,100.5,3,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Oncopareia","Oncopareia","Arthropoda","Malacostraca","Decapoda","Nephropidae",33.9,113,11,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Cretapenaeus","Cretapenaeus","Arthropoda","Malacostraca","Decapoda","Penaeidae",93.5,100.5,2,"epifaunal","fast, motile","surface deposit","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Cretasergestes","Cretasergestes","Arthropoda","Malacostraca","Decapoda","NO_FAMILY_SPECIFIED",66,100.5,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Woodbinax","Woodbinax","Arthropoda","Malacostraca","Decapoda","NO_FAMILY_SPECIFIED",66,100.5,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Odontochelion","Odontochelion","Arthropoda","Malacostraca","Decapoda","Oplophoridae",93.5,99.6,4,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Orithopsis","Orithopsis","Echinodermata","Echinoidea","NO_ORDER_SPECIFIED","Orthopsidae",66,105.3,3,"epifaunal","slow, motile","grazer","other","intermediate","high Mg calcite","moderate carbonate load",0,1,1,1
"Texicancer","Texicancer","Arthropoda","Malacostraca","Decapoda","Orithopsidae",99.6,105.3,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Menippe","Menippe","Arthropoda","Malacostraca","Decapoda","Oziidae",66,100.5,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Pagurus","Pagurus","Arthropoda","Malacostraca","Decapoda","Paguridae",23.03,125,13,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Cenocorystes","Cenocorystes","Arthropoda","Malacostraca","Decapoda","Palaeocorystidae",93.9,100.5,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Cretacoranina","Cretacoranina","Arthropoda","Malacostraca","Decapoda","Palaeocorystidae",66,100.5,5,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Eucorystes","Eucorystes","Arthropoda","Malacostraca","Decapoda","Palaeocorystidae",89.3,113,4,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Ferroranina","Ferroranina","Arthropoda","Malacostraca","Decapoda","Palaeocorystidae",93.9,100.5,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Joeranina","Joeranina","Arthropoda","Malacostraca","Decapoda","Palaeocorystidae",70.6,113,13,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Notopocorystes","Notopocorystes","Arthropoda","Malacostraca","Decapoda","Palaeocorystidae",66,113,13,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Planocorystes","Planocorystes","Arthropoda","Malacostraca","Decapoda","Palaeocorystidae",99.6,105.3,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Raninoides","Raninoides","Arthropoda","Malacostraca","Decapoda","Palaeocorystidae",23.03,100.5,32,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Palaeoxanthopsis","Palaeoxanthopsis","Arthropoda","Malacostraca","Decapoda","Palaeoxanthopsidae",66,100.5,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Archaeocarabus","Archaeocarabus","Arthropoda","Malacostraca","Decapoda","Palinuridae",47.8,100.5,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Linuparus","Linuparus","Arthropoda","Malacostraca","Decapoda","Palinuridae",23.03,113,47,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Palaeopalinurus","Palaeopalinurus","Arthropoda","Malacostraca","Decapoda","Palinuridae",93.5,105.3,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Mesoparapylocheles","Mesoparapylocheles","Arthropoda","Malacostraca","Decapoda","Parapylochelidae",93.5,105.3,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Parthenope","Parthenope","Arthropoda","Malacostraca","Decapoda","Parthenopidae",33.9,100.5,12,"epifaunal","fast, motile","symbionts","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Carinacaris","Carinacaris","Arthropoda","Malacostraca","Decapoda","Penaeidae",93.5,99.6,4,"epifaunal","fast, motile","surface deposit","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Hakelocaris","Hakelocaris","Arthropoda","Malacostraca","Decapoda","Penaeidae",93.5,99.6,4,"epifaunal","fast, motile","surface deposit","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
