"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Trachynerita","Trachynerita","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Neritidae",201.3,251.3,25,"epifaunal","slow, motile","grazer","hemocyanin","intermediate","bimineralic","moderate carbonate load",1,5,3,2
"Blodgettella","Blodgettella","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED",205.6,212,1,"epifaunal","slow, motile","grazer","hemocyanin","intermediate","aragonite","moderate carbonate load",1,1,1,1
"Idahospira","Idahospira","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED",205.6,212,1,"epifaunal","slow, motile","grazer","hemocyanin","intermediate","aragonite","moderate carbonate load",1,1,1,1
"Jurassiphorus","Jurassiphorus","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED",201.3,212,2,"epifaunal","slow, motile","grazer","hemocyanin","intermediate","aragonite","moderate carbonate load",1,2,1,2
"Ueckerconulus","Ueckerconulus","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","NO_FAMILY_SPECIFIED",205.6,212,1,"epifaunal","slow, motile","grazer","hemocyanin","intermediate","aragonite","moderate carbonate load",1,1,1,1
"Leptomaria","Leptomaria","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Pleurotomariidae",175.6,247.2,3,"epifaunal","slow, motile","predator","hemocyanin","intermediate","aragonite","moderate carbonate load",0,0,0,0
"Murihikua","Murihikua","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Pleurotomariidae",201.6,247.2,8,"epifaunal","slow, motile","predator","hemocyanin","intermediate","aragonite","moderate carbonate load",1,1,1,1
"Talantodiscus","Talantodiscus","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Pleurotomariidae",189.6,205.6,3,"epifaunal","slow, motile","predator","hemocyanin","intermediate","aragonite","moderate carbonate load",0,2,1,1
"Stereokion","Stereokion","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Protoculidae",205.6,212,1,"epifaunal","slow, motile","grazer","hemocyanin","intermediate","aragonite","moderate carbonate load",1,1,1,1
"Toxoconcha","Toxoconcha","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Protoculidae",201.3,252.17,23,"epifaunal","slow, motile","grazer","hemocyanin","intermediate","aragonite","moderate carbonate load",1,5,2,2
"Undularia","Undularia","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Protoculidae",201.3,247.2,10,"epifaunal","slow, motile","grazer","hemocyanin","intermediate","aragonite","moderate carbonate load",1,2,1,1
"Anulifera","Anulifera","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Protorculidae",180,228,8,"epifaunal","slow, motile","grazer","hemocyanin","intermediate","aragonite","moderate carbonate load",0,4,1,1
"Chulitnacula","Chulitnacula","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Protorculidae",201.3,228,5,"epifaunal","slow, motile","grazer","hemocyanin","intermediate","aragonite","moderate carbonate load",1,3,1,1
"Moerkeia","Moerkeia","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Protorculidae",205.6,242,4,"epifaunal","slow, motile","grazer","hemocyanin","intermediate","aragonite","moderate carbonate load",1,2,1,1
"Protorcula","Protorcula","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Protorculidae",205.6,265.1,35,"epifaunal","slow, motile","grazer","hemocyanin","intermediate","aragonite","moderate carbonate load",1,4,1,1
"Ptychomphalina","Ptychomphalina","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Ptychomphalidae",201.3,254.17,6,"epifaunal","slow, motile","grazer","hemocyanin","intermediate","aragonite","moderate carbonate load",1,2,1,1
"Ptychomphalus","Ptychomphalus","Mollusca","Gastropoda","NO_ORDER_SPECIFIED","Ptychomphalidae",182.7,272.3,41,"epifaunal","slow, motile","grazer","hemocyanin","intermediate","aragonite","moderate carbonate load",0,1,1,1
