"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Prehepatus","Prehepatus","Arthropoda","Malacostraca","Decapoda","NO_FAMILY_SPECIFIED",37.2,70.6,5,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Prochlorodius","Prochlorodius","Arthropoda","Malacostraca","Decapoda","NO_FAMILY_SPECIFIED",23.03,66,7,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Oregonia","Oregonia","Arthropoda","Malacostraca","Decapoda","Oregoniidae",23.03,66,1,"epifaunal","fast, motile","grazer","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Pagurus","Pagurus","Arthropoda","Malacostraca","Decapoda","Paguridae",23.03,125,13,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Laeviranina","Laeviranina","Arthropoda","Malacostraca","Decapoda","Palaeocorystidae",37.2,66,12,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Quasilaeviranina","Quasilaeviranina","Arthropoda","Malacostraca","Decapoda","Palaeocorystidae",41.3,61.7,7,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Raninoides","Raninoides","Arthropoda","Malacostraca","Decapoda","Palaeocorystidae",23.03,100.5,32,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Paraverrucoides","Paraverrucoides","Arthropoda","Malacostraca","Decapoda","Palaeoxanthopsidae",23.03,66,5,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Verrucoides","Verrucoides","Arthropoda","Malacostraca","Decapoda","Palaeoxanthopsidae",23.03,66,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Archaeocarabus","Archaeocarabus","Arthropoda","Malacostraca","Decapoda","Palinuridae",47.8,100.5,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Linuparus","Linuparus","Arthropoda","Malacostraca","Decapoda","Palinuridae",23.03,113,47,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,3,3,2
"Panulirus","Panulirus","Arthropoda","Malacostraca","Decapoda","Palinuridae",23.03,66,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Glyphithyreus","Glyphithyreus","Arthropoda","Malacostraca","Decapoda","Panopeidae",23.03,66,14,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Laevicarcinus","Laevicarcinus","Arthropoda","Malacostraca","Decapoda","Panopeidae",23.03,66,9,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Panopeus","Panopeus","Arthropoda","Malacostraca","Decapoda","Panopeidae",23.03,66,11,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Mesolambrus","Mesolambrus","Arthropoda","Malacostraca","Decapoda","Parthenopidae",23.03,66,9,"epifaunal","fast, motile","symbionts","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Parthenope","Parthenope","Arthropoda","Malacostraca","Decapoda","Parthenopidae",33.9,100.5,12,"epifaunal","fast, motile","symbionts","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Penaeus","Penaeus","Arthropoda","Malacostraca","Decapoda","Penaeidae",56,83.5,5,"pelagic","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Budapanopeus","Budapanopeus","Arthropoda","Malacostraca","Decapoda","Pilumnidae",23.03,66,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Galenopsis","Galenopsis","Arthropoda","Malacostraca","Decapoda","Pilumnidae",23.03,66,14,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Lobogalenopsis","Lobogalenopsis","Arthropoda","Malacostraca","Decapoda","Pilumnidae",23.03,66,9,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Prealpicarcinus","Prealpicarcinus","Arthropoda","Malacostraca","Decapoda","Pilumnidae",23.03,66,6,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Viapinnixa","Viapinnixa","Arthropoda","Malacostraca","Decapoda","Pinnotheridae",23.03,66,4,"epifaunal","fast, motile","symbionts","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Eopetrolisthes","Eopetrolisthes","Arthropoda","Malacostraca","Decapoda","Porcellanidae",23.03,66,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Longoporcellana","Longoporcellana","Arthropoda","Malacostraca","Decapoda","Porcellanidae",23.03,66,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Porcellana","Porcellana","Arthropoda","Malacostraca","Decapoda","Porcellanidae",23.03,66,2,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Neptocarcinus","Neptocarcinus","Arthropoda","Malacostraca","Decapoda","Portunidae",23.03,66,5,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Portunus","Portunus","Arthropoda","Malacostraca","Decapoda","Portunidae",23.03,66,7,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Priabonocarcinus","Priabonocarcinus","Arthropoda","Malacostraca","Decapoda","Pseudoziidae",23.03,66,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Alcespina","Alcespina","Arthropoda","Malacostraca","Decapoda","Raninidae",23.03,66,4,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Claudioranina","Claudioranina","Arthropoda","Malacostraca","Decapoda","Raninidae",58.7,61.7,1,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Lophoranina","Lophoranina","Arthropoda","Malacostraca","Decapoda","Raninidae",23.03,100.5,39,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Notopus","Notopus","Arthropoda","Malacostraca","Decapoda","Raninidae",23.03,66,6,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,0,0,0
"Raniliformis","Raniliformis","Arthropoda","Malacostraca","Decapoda","Raninidae",41.3,70.6,11,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,2,1,1
"Ranina","Ranina","Arthropoda","Malacostraca","Decapoda","Raninidae",33.9,66,7,"epifaunal","fast, motile","predator","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
