"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Baschkirina","Baschkirina","Arthropoda","Ostracoda","Podocopida","Bairdiocyprididae",252.17,259.9,55,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,2,1
"Praepilatina","Praepilatina","Arthropoda","Ostracoda","Podocopida","Bairdiocyprididae",252.17,259.9,8,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,3,1,1
"Pseudobythocypris","Pseudobythocypris","Arthropoda","Ostracoda","Podocopida","Bairdiocyprididae",252.17,259.9,34,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Silenis","Silenis","Arthropoda","Ostracoda","Podocopida","Bairdiocyprididae",252.17,259.9,11,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Acanthoscapha","Acanthoscapha","Arthropoda","Ostracoda","Podocopida","Beecherellidae",232,259.9,15,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Paraberounella","Paraberounella","Arthropoda","Ostracoda","Podocopida","Berounellidae",254.17,259.9,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Callicythere","Callicythere","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",242,265.1,58,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Keijicythere","Keijicythere","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",254.17,259.9,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Monoceratina","Monoceratina","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",174.1,259.9,77,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,11,3,2
"Parabythocythere","Parabythocythere","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",252.17,259.9,6,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,4,3,2
"Striatobythoceratina","Striatobythoceratina","Arthropoda","Ostracoda","Podocopida","Bythocytheridae",254.17,259.9,3,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,3,2,1
"Triassocypris","Triassocypris","Arthropoda","Ostracoda","Podocopida","Candonidae",254.17,259.9,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Basslerella","Basslerella","Arthropoda","Ostracoda","Podocopida","Cytherideidae",242,265.1,171,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,15,4,3
"Pseudorayella","Pseudorayella","Arthropoda","Ostracoda","Podocopida","Cytherideidae",252.17,259.9,2,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,1,1,1
"Arqoviella","Arqoviella","Arthropoda","Ostracoda","Podocopida","Cytherissinellidae",252.17,265.1,18,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Gruendelicythere","Gruendelicythere","Arthropoda","Ostracoda","Podocopida","Cytherissinellidae",254.17,259.9,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Visnyoella","Visnyoella","Arthropoda","Ostracoda","Podocopida","Cytherissinellidae",254.17,259.9,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Judahella","Judahella","Arthropoda","Ostracoda","Podocopida","Cytheruridae",201.3,259.9,17,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,5,2,1
"Pseudacanthoscapha","Pseudacanthoscapha","Arthropoda","Ostracoda","Podocopida","Geroiidae",252.17,259.9,16,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,1,2
"Healdia","Healdia","Arthropoda","Ostracoda","Podocopida","Healdiidae",242,259.9,30,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,14,1,1
"Healdianella","Healdianella","Arthropoda","Ostracoda","Podocopida","Healdiidae",252.17,259.9,15,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,2,1,1
"Macrocypris","Macrocypris","Arthropoda","Ostracoda","Podocopida","Macrocyprididae",252.17,265.1,12,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Liuzhinia","Liuzhinia","Arthropoda","Ostracoda","Podocopida","NO_FAMILY_SPECIFIED",242,265.1,87,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,0,0,0
"Haworthina","Haworthina","Arthropoda","Ostracoda","Podocopida","Pontocyprididae",254.17,259.9,13,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,13,3,2
"Jonesia","Jonesia","Arthropoda","Ostracoda","Podocopida","Pseudocytheridae",254.17,259.9,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Pseudospinella","Pseudospinella","Arthropoda","Ostracoda","Podocopida","Rectonariidae",254.17,259.9,1,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",1,1,1,1
"Microcheilinella","Microcheilinella","Arthropoda","Ostracoda","Podocopida","Sigilliidae",242,265.1,262,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,49,17,5
"Spinomicrocheilinella","Spinomicrocheilinella","Arthropoda","Ostracoda","Podocopida","Sigilliidae",232,259.9,27,"epifaunal","slow, motile","surface deposit","hemocyanin","non-broadcaster","low Mg calcite","moderate carbonate load",0,4,3,2
"Brachymetopus","Brachymetopus","Arthropoda","Trilobita","Aulacopleurida","Brachymetopidae",254.17,259.9,1,"epifaunal","fast, motile","surface deposit","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Cheiropyge","Cheiropyge","Arthropoda","Trilobita","Aulacopleurida","Brachymetopidae",254.17,265.1,2,"epifaunal","fast, motile","surface deposit","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Acanthophillipsia","Acanthophillipsia","Arthropoda","Trilobita","Proetida","Proetidae",254.17,265.1,4,"epifaunal","fast, motile","surface deposit","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,3,3,1
"Acropyge","Acropyge","Arthropoda","Trilobita","Proetida","Proetidae",252.17,265.1,4,"epifaunal","fast, motile","surface deposit","hemocyanin","non-broadcaster","chitin","moderate carbonate load",0,1,1,1
"Ditomopyge","Ditomopyge","Arthropoda","Trilobita","Proetida","Proetidae",254.17,259.9,1,"epifaunal","fast, motile","surface deposit","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
"Kathwaia","Kathwaia","Arthropoda","Trilobita","Proetida","Proetidae",254.17,259.9,1,"epifaunal","fast, motile","surface deposit","hemocyanin","non-broadcaster","chitin","moderate carbonate load",1,1,1,1
