"","unique.taxa","phylum","class","order","family","range.min","range.max","t_occurrences","tiering","motility","feeding","protein","reproduction","mineralogy","physiology","extinct","e_occurrences","species","geoplates"
"Lepismatina","Lepismatina","Brachiopoda","Rhynchonellata","Spiriferinida","Lepismatinidae",201.3,252.17,63,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,4,1,2
"Spiriferina","Spiriferina","Brachiopoda","Rhynchonellata","Spiriferinida","Spiriferinidae",163.5,265.1,166,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,1,1,1
"Pseudospiriferina","Pseudospiriferina","Brachiopoda","Rhynchonellata","Spiriferinida","Spiriferinidae",196.5,251.3,35,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,1,1,1
"Rhaetina","Rhaetina","Brachiopoda","Rhynchonellata","Terebratulida","Angustothyrididae",201.3,251.3,221,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,2,1,1
"Bittnerithyris","Bittnerithyris","Brachiopoda","Rhynchonellata","Terebratulida","Dielasmatidae",247.2,252.17,23,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,19,1,4
"Coenothyris","Coenothyris","Brachiopoda","Rhynchonellata","Terebratulida","Dielasmatidae",205.6,251.2,120,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Protogusarella","Protogusarella","Brachiopoda","Rhynchonellata","Terebratulida","Gusarellidae",247.2,251.3,35,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,35,1,1
"Vex","Vex","Brachiopoda","Rhynchonellata","Terebratulida","NO_FAMILY_SPECIFIED",247.2,251.3,11,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,11,1,2
"Obnixia","Obnixia","Brachiopoda","Rhynchonellata","Terebratulida","Notothyrididae",247.2,251.3,30,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,30,1,1
"Terebratula","Terebratula","Brachiopoda","Rhynchonellata","Terebratulida","Terebratulidae",182.7,252.17,26,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Periallus","Periallus","Brachiopoda","Rhynchonellata","Terebratulida","Zeilleriidae",247.2,252.17,5,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,2,1,1
"Portneufia","Portneufia","Brachiopoda","Rhynchonellata","Terebratulida","Zugmayeriidae",247.2,251.3,1,"epifaunal","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",1,1,1,1
"Paralioclema","Paralioclema","Bryozoa","Stenolaemata","Trepostomida","Araxoporidae",215.56,265.1,18,"erect","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,1,1,1
"Dyscritella","Dyscritella","Bryozoa","Stenolaemata","Trepostomida","Dyscritellidae",201.3,265.1,108,"erect","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Pseudobatostomella","Pseudobatostomella","Bryozoa","Stenolaemata","Trepostomida","Dyscritellidae",237,268.8,29,"erect","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,0,0,0
"Arcticopora","Arcticopora","Bryozoa","Stenolaemata","Trepostomida","Stenoporidae",201.3,259.9,49,"erect","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,4,2,2
"Dyscritellopsis","Dyscritellopsis","Bryozoa","Stenolaemata","Trepostomida","Stenoporidae",205.6,251.3,7,"erect","stationary, attached","suspension","hemerythrin","broadcaster","low Mg calcite","heavy carbonate load",0,2,2,1
