tiering,motility,feeding,protein,reproduction,mineralogy,physiology,geoplates,species,PTr_size,PTr_extProb,TrJ_size,TrJ_extProb,KPg_size,KPg_extProb,total_size
epifaunal,"slow, motile",grazer,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,1.0,4.0,1.0,1.0,2.5,0.4,0.0,,3.5
epifaunal,"slow, motile",grazer,hemocyanin,intermediate,aragonite,moderate carbonate load,2.0,4.0,0.0,,1.0,1.0,2.5,0.0,3.5
epifaunal,"fast, motile",predator,hemocyanin,non-broadcaster,chitin,moderate carbonate load,2.0,3.0,0.0,,0.0,,3.0,0.3333333333333333,3.0
shallow infaunal,"facultative, unattached",suspension,hemocyanin,broadcaster,aragonite,moderate carbonate load,1.0,3.0,0.0,,1.0,1.0,2.0,0.0,3.0
epifaunal,"stationary, attached",suspension,hemocyanin,broadcaster,bimineralic,moderate carbonate load,4.0,6.0,3.0,0.0,0.0,,0.0,,3.0
pelagic,"fast, motile",predator,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,1.0,6.0,2.0,1.0,0.0,,1.0,1.0,3.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,bimineralic,moderate carbonate load,3.0,1.0,0.0,,0.0,,3.0,1.0,3.0
epifaunal,"facultative, unattached",suspension,hemocyanin,broadcaster,bimineralic,moderate carbonate load,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0
epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load,5.0,6.0,3.0,1.0,0.0,,0.0,,3.0
epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load,2.0,4.0,3.0,1.0,0.0,,0.0,,3.0
pelagic,"fast, motile",predator,hemocyanin,non-broadcaster,aragonite,moderate carbonate load,1.0,10.0,0.0,,0.0,,3.0,0.6666666666666666,3.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,bimineralic,moderate carbonate load,1.0,2.0,0.0,,0.0,,3.0,1.0,3.0
epifaunal,"slow, motile",suspension,hemocyanin,non-broadcaster,low Mg calcite,moderate carbonate load,1.0,2.0,3.0,0.6666666666666666,0.0,,0.0,,3.0
pelagic,"fast, motile",predator,hemocyanin,non-broadcaster,soft-bodied,moderate carbonate load,1.0,1.0,0.0,,0.0,,3.0,1.0,3.0
epifaunal,"stationary, attached",suspension,hemerythrin,broadcaster,low Mg calcite,heavy carbonate load,3.0,4.0,3.0,1.0,0.0,,0.0,,3.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,aragonite,heavy carbonate load,3.0,1.0,0.0,,1.0,1.0,2.0,0.5,3.0
shallow infaunal,"facultative, unattached",suspension,hemocyanin,broadcaster,aragonite,moderate carbonate load,3.0,5.0,0.0,,0.0,,3.0,0.3333333333333333,3.0
semi-infaunal,"stationary, attached",suspension,hemocyanin,broadcaster,bimineralic,moderate carbonate load,2.0,1.0,1.0,1.0,0.0,,2.0,0.5,3.0
erect,"stationary, attached",suspension,hemocyanin,broadcaster,bimineralic,moderate carbonate load,4.0,2.0,0.0,,0.0,,3.0,1.0,3.0
